Time;Time Code;Country Name;Country Code;Life expectancy at birth, total (years) [SP.DYN.LE00.IN];GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD];Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI];Gini index [SI.POV.GINI];Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]
2019;YR2019;Guam;GUM;76.645;..;..;..;..
2019;YR2019;Guatemala;GTM;71.639;10755.8801;1.63;..;5.88
2019;YR2019;Guinea;GIN;59.379;3105.82789;0.47;..;5.02
2019;YR2019;Guinea-Bissau;GNB;62.161;2247.313037;4.14;..;7.38
2019;YR2019;Guyana;GUY;69.067;13240.97138;5.35;..;27.64
2019;YR2019;Haiti;HTI;64.328;3236.974925;3.45;..;8.6
2019;YR2019;Honduras;HND;72.124;5784.930811;3.17;48.2;3.05
2019;YR2019;Hong Kong SAR, China;HKG;85.15585366;61221.41954;..;..;..
2019;YR2019;Hungary;HUN;76.3195122;35627.23155;10.6;..;16.65
2019;YR2019;Iceland;ISL;83.16341463;60523.81794;8.07;26.8;11.98
2019;YR2019;India;IND;70.746;7150.924235;4.92;..;13.98
2019;YR2019;Indonesia;IDN;70.349;11986.47015;0.11;35.4;1.6
2019;YR2019;Iran, Islamic Rep.;IRN;76.855;13927.51281;0.7;36.5;4.27
2019;YR2019;Iraq;IRQ;71.245;12248.59174;0.24;..;3.25
2019;YR2019;Ireland;IRL;82.70243902;92022.5988;11.7;30.3;8.07
2019;YR2019;Isle of Man;IMN;80.74;..;..;..;..
2019;YR2019;Israel;ISR;82.80487805;41325.17837;3.01;38.3;5.03
2019;YR2019;Italy;ITA;83.49756098;46661.91052;7.97;34.6;6.77
2019;YR2019;Jamaica;JAM;71.532;10845.01136;3.6;..;1.69
2019;YR2019;Japan;JPN;84.35634146;42678.15114;6.68;33;16.47
2019;YR2019;Jordan;JOR;76.865;9429.072796;0.31;..;0.77
2019;YR2019;Kazakhstan;KAZ;73.658;28689.27108;4.52;28;18.8
2019;YR2019;Kenya;KEN;62.939;4687.377823;2.87;..;6.45
